epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,962.216,0.94756,0.73412,1.11255,0.96165,0.96667,0.97733,0.73042,0.70935,3.06149,0.70989,0.0011684,0.0011684,0.0011684
44,984.491,0.94739,0.72426,1.13011,0.95798,0.96667,0.96943,0.76165,0.64209,2.31605,0.68936,0.0011486,0.0011486,0.0011486
45,1005.5,0.87637,0.66214,1.08955,0.9937,0.96667,0.98695,0.76745,0.68408,0.65422,0.70096,0.0011288,0.0011288,0.0011288
46,1026.06,0.92752,0.7119,1.0983,0.99103,0.96667,0.97768,0.75047,0.64534,0.64576,0.69137,0.001109,0.001109,0.001109
47,1047.72,0.8695,0.64561,1.07359,0.96483,0.96667,0.97457,0.80547,0.52157,0.7631,0.63427,0.0010892,0.0010892,0.0010892
48,1070.38,0.92193,0.74901,1.09939,0.96347,0.93333,0.98221,0.77528,0.55921,1.11802,0.65337,0.0010694,0.0010694,0.0010694
49,1090.13,0.90892,0.6768,1.068,0.92686,0.93333,0.97593,0.78618,0.52917,1.01578,0.63312,0.0010496,0.0010496,0.0010496
50,1112.56,0.87923,0.68864,1.09826,0.92935,0.96667,0.96749,0.76439,0.58674,1.34167,0.6582,0.0010298,0.0010298,0.0010298
51,1132.09,0.87991,0.64092,1.0555,0.93515,0.96144,0.96977,0.8141,0.4941,0.86085,0.61222,0.00101,0.00101,0.00101
52,1154.48,0.85986,0.67619,1.07863,0.96344,0.96667,0.98535,0.8274,0.4354,2.34654,0.60729,0.0009902,0.0009902,0.0009902
53,1175.78,0.81996,0.60634,1.04872,0.99445,0.96667,0.99071,0.82734,0.53619,0.80917,0.62598,0.0009704,0.0009704,0.0009704
54,1196.78,0.86738,0.62598,1.09613,0.99616,0.96667,0.97468,0.81993,0.52894,0.63992,0.63165,0.0009506,0.0009506,0.0009506
55,1217.28,0.84134,0.59166,1.04149,0.96277,0.96667,0.98315,0.84129,0.48703,0.75919,0.62212,0.0009308,0.0009308,0.0009308
56,1239.38,0.88883,0.67917,1.117,1,0.92504,0.97885,0.80924,0.55505,1.2725,0.65033,0.000911,0.000911,0.000911
57,1259.88,0.86379,0.63739,1.06487,0.98758,0.93333,0.98768,0.84375,0.48297,1.01306,0.62639,0.0008912,0.0008912,0.0008912
58,1283,0.83563,0.61968,1.04138,0.93412,0.94556,0.98022,0.81779,0.46107,1.58357,0.61646,0.0008714,0.0008714,0.0008714
